source,percent_clickbait
aljazeera.com,6.09
bbc.com,18.37
businessinsider.com,18.37
buzzfeed.com,98.15
cbc.ca,25.45
cultofmac.com,40.0
dailymail.co.uk,29.17
foxnews.com,18.75
ibtimes.com,12.5
inquisitr.com,43.33
macrumors.com,7.27
mediaite.com,36.36
metro.co.uk,20.0
mirror.co.uk,31.82
nydailynews.com,18.37
