,source,title,is_clickbait
71,dailyrecord.co.uk,Celtic midfielder Olivier Ntcham responds to summer speculation he wanted to leave Parkhead,0
72,dailyrecord.co.uk,Search to find owner of dog chipped in Wishaw but discovered 300 miles away,0
73,dailyrecord.co.uk,Kilmarnock boss Steve Clarke lifts lid on Greg Kiltie's long-term absence,0
74,dailyrecord.co.uk,Katie Price given last chance to avoid bankruptcy as judge tells her to strike deal with taxman,0
75,dailyrecord.co.uk,Chris's House thank boxing brothers after Wishaw charity event raises cash,0
76,dailyrecord.co.uk,Brutal Wishaw thug behind bars after scarring man for life in vicious attack,0
77,dailyrecord.co.uk,Coltness and Cleland churches create poppy tribute ahead of Remembrance Sunday,0
78,dailyrecord.co.uk,Perthshire golf star Carly Booth tells of social media hell,0
79,dailyrecord.co.uk,Dumbarton man in court for throwing eggs at Orange walk marchers,0
80,dailyrecord.co.uk,'I'll hang you from a pole' Creep terrorised ex with vile text and threats,1
81,dailyrecord.co.uk,Aberdeen soften ticket stance for Celtic final as Dons WON'T demand 50-50 split,0
82,dailyrecord.co.uk,Blueprint for social housing in Perthshire,0
83,dailyrecord.co.uk,Scots abuse victim tells inquiry suffering 'became a way of life' inside orphanage,0
84,dailyrecord.co.uk,Stirling politicians quiz Debenhams bosses over future of city store,0
85,dailyrecord.co.uk,Lanarkshire families encouraged to make healthy baby weaning food at home,0
86,dailyrecord.co.uk,Larkhall are gearing up for annual Christmas market,0
87,dailyrecord.co.uk,Dumfriesshire man Liam relives moment Greek quake struck,0
88,dailyrecord.co.uk,Detectives launch murder inquiry following death of man,0
89,dailyrecord.co.uk,Scotland to be battered by 'Euro snow cloud' bringing freezing temperatures,0
90,dailyrecord.co.uk,Missing Scots mum Lisa Brown homicide probe against ex-partner to be re-opened,0
91,dailyrecord.co.uk,Robert Pires reveals former Rangers boss Paul Le Guen's failed bid to bring him to Ibrox,0
92,dailyrecord.co.uk,Flu jab reminder after Scots winters deaths hit 18-year high,0
93,dailyrecord.co.uk,Paul Scholes slams Jose Mourinho telling him to ditch the moaning and bring back the Cocky One,0
94,dailyrecord.co.uk,Argos has a list of the best selling toys from the last 45 years and your childhood favourites are bound to be on it,1
95,dailyrecord.co.uk,Family of Scots footy starlet who took own life urging clubs to tackle mental health issues,0
96,dailyrecord.co.uk,Missing Celtic fan's distraught family issue emotional appeal to help find son,0
97,dailyrecord.co.uk,Sir Billy Connolly volunteers as Parkinson's disease research 'guinea pig',0
98,dailyrecord.co.uk,Amazon workers' dismay after losing right to shares following pay rise u-turn,0
99,dailyrecord.co.uk,Kevin Bridges' hilarious joke comparing Trump with a Glasgow taxi driver leaves fans in stitches as Hydro tour kicks off,0
