,source,title,is_clickbait
81,hoax-slayer.com,Gmail 'Update Account' Phishing Scam,0
82,hoax-slayer.com,'Really Bad Virus' Warning,0
83,hoax-slayer.com,HM Revenue & Customs Refund of Overpayments Phishing Scam,0
84,hoax-slayer.com,Mike The Hacker Scam Emails,0
85,hoax-slayer.com,'Major Hack' Facebook Virus Warning Message,0
86,hoax-slayer.com,Lloyds Banking Group 'Online Access Suspended' Phishing Scam,0
87,hoax-slayer.com,False Child Abduction Alert – 'Lilly Snatched From Surrey',0
88,hoax-slayer.com,Protest Message About Bedfordshire Police Rules Regarding Muslims,0
89,hoax-slayer.com,Browser and Operating System Survey Scam,0
90,hoax-slayer.com,Hoax - 'Chipotle Using Dog and Cat Meat in Meals',0
91,hoax-slayer.com,TIFF Files Security Vulnerability Warning,0
92,hoax-slayer.com,PHISHING SCAM - 'Virgin Media Quick Pay Profile Update',0
93,hoax-slayer.com,One Direction Facebook Page Hacker Warning Message,0
94,hoax-slayer.com,Facebook Change Profile Picture to Cartoon Character Paedophile Warning Hoax,0
95,hoax-slayer.com,Child Abuse Protest Message - Child Being Stepped on Photograph,0
96,hoax-slayer.com,Free Disneyland Tickets Survey Scam,0
97,hoax-slayer.com,Bogus Warning - Scammers Asking for Baby Details to Claim Benefits in Your Children's Names,0
98,hoax-slayer.com,Faux Images - Mermaid Skeleton,0
99,hoax-slayer.com,Facebook Survey Scam - Free £100 ASDA Voucher,0
